CO_MUNICCO_MUNICCO_STATUCO_TIPO DS_NOME DS_NOMEPDS_OBSERCO_REGIACO_UF   CO_ALTERCO_ALTERIN_CAPITIN_AMAZLIN_SEMIAIN_FRONTDT_INSTADT_EXTINCO_SUCESNU_ORDEMNU_ORDMANU_LATITNU_LONGINU_ALTITNU_AREA
       0       0IGNOR   IGNOR   IgnoradoIGNORADOIgnorado,      ,       0,      ,,       N       N       N       N                                      8
  110000 1100000IGNOR   IGNOR   MunicipiMUNICIPIIgnorado       1      110,119999    0,12N       S       N       N                                      8
  220220 2202208ATIVO   MUNIC   Campo MaCAMPO MAIOR            2      22                N       N       N       N           1889                       1        -4,82911-42,1667     1251699,383
  220225 2202251ATIVO   MUNIC   CanavieiCANAVIEIRA             2      22                N       N       S       N           1993                       1        -7,69462-43,7194     1801803,466
  220230 2202307ATIVO   MUNIC   Canto DoCANTO DO BURITI        2      22                N       N       S       N           1938                       1        -8,10823 -42,944     2694409,804
  220240 2202406ATIVO   MUNIC   Capitao CAPITAO DE CAMPO       2      22                N       N       N       N           1956                       1        -4,45856-41,9435     130 538,681
  220245 2202455ATIVO   MUNIC   Capitao CAPITAO GERVASIO       2      22                N       N       S       N           1997                       1        -8,49684-41,8161     4001114,408
  220250 2202505ATIVO   MUNIC   Caracol CARACOL                2      22                N       N       S       N           1947                       1        -9,27677-43,3342     566 449,465
  220253 2202539ATIVO   MUNIC   CaraubasCARAUBAS DO PIAU       2      22                N       N       N       N           1997                       1        -3,47859-41,8412      50 471,447
  220255 2202554ATIVO   MUNIC   CaridadeCARIDADE DO PIAU       2      22                N       N       S       N           1997                       1        -7,72865-40,9903     347 423,369
  220260 2202604ATIVO   MUNIC   Castelo CASTELO DO PIAUI       2      22                N       N       S       N           1938                       1        -5,32154-41,5473     239 2063,96
  220265 2202653ATIVO   MUNIC   Caxingo CAXINGO                2      22                N       N       N       N           1997                       1        -3,42694-41,8827      13 488,162
  220270 2202703ATIVO   MUNIC   Cocal   COCAL                  2      22                N       N       N       N           1947                       1        -3,47045-41,5568     1601269,066
  220271 2202711ATIVO   MUNIC   Cocal DeCOCAL DE TELHA         2      22                N       N       N       N           1997                       1        -4,55382 -41,979     140 322,103
  220272 2202729ATIVO   MUNIC   Cocal DoCOCAL DOS ALVES        2      22                N       N       N       N           1997                       1        -3,60607-41,4554     100 358,104
  220273 2202737ATIVO   MUNIC   CoivarasCOIVARAS               2      22                N       N       N       N           1993                       1        -5,09131-42,2073     190 506,719
  220275 2202752ATIVO   MUNIC   Colonia COLONIA DO GURGU       2      22                N       N       S       N           1993                       1        -8,18757 -43,796     216 430,613
  220277 2202778ATIVO   MUNIC   Colonia COLONIA DO PIAUI       2      22                N       N       S       N           1993                       1        -7,22366-42,1771       0 947,934
  220280 2202802ATIVO   MUNIC   ConceicaCONCEICAO DO CAN       2      22                N       N       S       N           1954                       1         -7,8827-41,5966     252 903,884
  220285 2202851ATIVO   MUNIC   Coronel CORONEL JOSE DIA       2      22                N       N       S       N           1993                       1        -8,81637-42,4704       01822,115
  220290 2202901ATIVO   MUNIC   CorrenteCORRENTE               2      22                N       N       N       N           1872                       1        -10,4409-45,1633     4383051,161
  220300 2203008ATIVO   MUNIC   CristalaCRISTALANDIA DO        2      22                N       N       N       N           1962                       1        -10,6478 -45,186     4691202,901
  220310 2203107ATIVO   MUNIC   CristinoCRISTINO CASTRO        2      22                N       N       S       N           1953                       1        -8,82019-44,2244     239 1848,69
  220320 2203206ATIVO   MUNIC   CurimataCURIMATA               2      22                N       N       S       N           1953                       1        -10,0313-44,3007     3282360,527
  220323 2203230ATIVO   MUNIC   Currais CURRAIS                2      22                N       N       S       N           1997                       1        -9,01243 -44,403     3203156,647
  220325 2203255ATIVO   MUNIC   CurralinCURRALINHOS            2      22                N       N       N       N           1997                       1        -5,62045-42,8322     126 362,793
  220327 2203271ATIVO   MUNIC   Curral NCURRAL NOVO DO P       2      22                N       N       S       N           1997                       1         -7,8308-40,9011     370 765,534
  220330 2203305ATIVO   MUNIC   DemervalDEMERVAL LOBAO         2      22                N       N       N       N           1963                       1        -5,35847-42,6742     112 221,023
  220335 2203354ATIVO   MUNIC   Dirceu ADIRCEU ARCOVERDE       2      22                N       N       S       N           1979                       1         -9,3352-42,4396     7401005,706
  220340 2203404ATIVO   MUNIC   Dom ExpeDOM EXPEDITO LOP       2      22                N       N       S       N           1963                       1         -6,9579-41,6524     405  219,07
  220342 2203420ATIVO   MUNIC   DomingosDOMINGOS MOURAO        2      22                N       N       S       N           1962                       1        -4,25343-41,2719     150 846,831
  220345 2203453ATIVO   MUNIC   Dom InocDOM INOCENCIO          2      22                N       N       S       N           1989                       1        -9,00807-41,9769     3404024,385
  220350 2203503ATIVO   MUNIC   Elesbao ELESBAO VELOSO         2      22                N       N       N       N           1954                       1        -6,20172-42,1381     2031285,678
  220360 2203602ATIVO   MUNIC   Eliseu MELISEU MARTINS         2      22                N       N       S       N           1957                       1        -8,09646-43,6648     2581090,496
  220370 2203701ATIVO   MUNIC   EsperantESPERANTINA            2      22                N       N       N       N           1938                       1         -3,8956-42,2354      59 911,213
  220375 2203750ATIVO   MUNIC   Fartura FARTURA DO PIAUI       2      22                N       N       S       N           1993                       1        -9,47861-42,7944       0 717,991
  220380 2203800ATIVO   MUNIC   Flores DFLORES DO PIAUI        2      22                N       N       S       N           1963                       1        -7,79178-42,9243     300 972,209
  220385 2203859ATIVO   MUNIC   FlorestaFLORESTA DO PIAU       2      22                N       N       S       N           1997                       1         -7,4668-41,8003     180 206,144
  220390 2203909ATIVO   MUNIC   FlorianoFLORIANO               2      22                N       N       N       N           1897                       1        -6,76967-43,0206     1123409,664
  220400 2204006ATIVO   MUNIC   FrancinoFRANCINOPOLIS          2      22                N       N       N       N           1961                       1        -6,39529-42,2634     245 254,407
  220410 2204105ATIVO   MUNIC   FranciscFRANCISCO AYRES        2      22                N       N       N       N           1963                       1        -6,62334-42,6911     125 656,448
  220415 2204154ATIVO   MUNIC   FranciscFRANCISCO MACEDO       2      22                N       N       S       N           1997                       1        -7,32787-40,7956     360 117,317
  220420 2204204ATIVO   MUNIC   FranciscFRANCISCO SANTOS       2      22                N       N       S       N           1960                       1        -6,99417-41,1362     270 569,502
  220430 2204303ATIVO   MUNIC   FronteirFRONTEIRAS             2      22                N       N       S       N           1938                       1        -7,08841-40,6172     426 789,828
  220435 2204352ATIVO   MUNIC   GeminianGEMINIANO              2      22                N       N       S       N           1997                       1        -7,15842-41,3576     260  471,57
  220440 2204402ATIVO   MUNIC   Gilbues GILBUES                2      22                N       N       N       N           1938                       1        -9,83457-45,3469     4813495,016
  220450 2204501ATIVO   MUNIC   GuadalupGUADALUPE              2      22                N       N       N       N           1938                       1        -6,78525-43,5669     1771019,645
  220455 2204550ATIVO   MUNIC   GuaribasGUARIBAS               2      22                N       N       S       N           1997                       1        -9,39511-43,6877     5204279,673
  220460 2204600ATIVO   MUNIC   Hugo NapHUGO NAPOLEAO          2      22                N       N       N       N           1963                       1        -5,98779-42,5626     232 273,721
  220465 2204659ATIVO   MUNIC   Ilha GraILHA GRANDE            2      22                N       N       N       N           1997                       1        -2,85401-41,8198      10 134,318
  220470 2204709ATIVO   MUNIC   Inhuma  INHUMA                 2      22                N       N       S       N           1954                       1        -6,66712-41,7102     3871042,815
  220480 2204808ATIVO   MUNIC   IpirangaIPIRANGA DO PIAU       2      22                N       N       S       N           1960                       1        -6,82693-41,7399     424 527,716
  220490 2204907ATIVO   MUNIC   Isaias CISAIAS COELHO          2      22                N       N       S       N           1963                       1        -7,73431-41,6794     260  664,66
  220500 2205003ATIVO   MUNIC   ItainopoITAINOPOLIS            2      22                N       N       S       N           1954                       1        -7,45128  -41,48     200 810,752
  220510 2205102ATIVO   MUNIC   ItaueiraITAUEIRA               2      22                N       N       S       N           1952                       1        -7,60812-43,0255     2582534,502
  220515 2205151ATIVO   MUNIC   JacobinaJACOBINA DO PIAU       2      22                N       N       S       N           1993                       1        -7,93626-41,2108       01443,257
  220520 2205201ATIVO   MUNIC   Jaicos  JAICOS                 2      22                N       N       S       N           1832                       1        -7,35315-41,1465     280 854,342
  220525 2205250ATIVO   MUNIC   Jardim DJARDIM DO MULATO       2      22                N       N       N       N           1993                       1        -6,09658 -42,634       0 460,518
  220527 2205276ATIVO   MUNIC   Jatoba DJATOBA DO PIAUI        2      22                N       N       N       N           1997                       1        -4,77316-41,8198     240 663,797
  220530 2205300ATIVO   MUNIC   JerumenhJERUMENHA              2      22                N       N       N       N           1890                       1        -7,08463-43,5027     1451693,772
  220535 2205359ATIVO   MUNIC   Joao CosJOAO COSTA             2      22                N       N       S       N           1997                       1        -8,48913-42,4178     3001716,165
  220540 2205409ATIVO   MUNIC   Joaquim JOAQUIM PIRES          2      22                N       N       N       N           1960                       1         -3,5131-42,1877       7  739,57
  220545 2205458ATIVO   MUNIC   Joca MarJOCA MARQUES           2      22                N       N       N       N           1997                       1        -3,48803-42,4277      24 166,441
  220550 2205508ATIVO   MUNIC   Jose De JOSE DE FREITAS        2      22                N       N       N       N           1924                       1        -4,76305-42,5784     1381538,205
  220551 2205516ATIVO   MUNIC   JuazeiroJUAZEIRO DO PIAU       2      22                N       N       S       N           1997                       1        -5,16137-41,7026     175 827,199
  220552 2205524ATIVO   MUNIC   Julio BoJULIO BORGES           2      22                N       N       S       N           1997                       1        -10,3268-44,2437     3891290,413
  220553 2205532ATIVO   MUNIC   Jurema  JUREMA                 2      22                N       N       S       N           1997                       1        -9,22202-43,1331     5351297,315
  220554 2205540ATIVO   MUNIC   LagoinhaLAGOINHA DO PIAU       2      22                N       N       N       N           1997                       1        -5,83658-42,6274     240  67,507
  220555 2205557ATIVO   MUNIC   Lagoa AlLAGOA ALEGRE           2      22                N       N       N       N           1993                       1        -4,50873-42,6167       0 394,658
  220556 2205565ATIVO   MUNIC   Lagoa DoLAGOA DO BARRO D       2      22                N       N       S       N           1993                       1        -8,48244-41,5303       01300,538
  220557 2205573ATIVO   MUNIC   Lagoa DeLAGOA DE SAO FRA       2      22                N       N       S       N           1997                       1        -4,39275-41,6055     368 155,637
  220558 2205581ATIVO   MUNIC   Lagoa DoLAGOA DO PIAUI         2      22                N       N       N       N           1997                       1        -5,41214 -42,649     185 427,195
  220559 2205599ATIVO   MUNIC   Lagoa DoLAGOA DO SITIO         2      22                N       N       S       N           1997                       1        -6,51535-41,5824     455  789,71
  220560 2205607ATIVO   MUNIC   Landri SLANDRI SALES           2      22                N       N       N       N           1957                       1         -7,2666 -43,931     3101193,316
  220570 2205706ATIVO   MUNIC   Luis CorLUIS CORREIA           2      22                N       N       N       N           1938                       1        -2,88157-41,6646      101071,276
  220580 2205805ATIVO   MUNIC   LuzilandLUZILANDIA             2      22                N       N       N       N           1938                       1        -3,46082-42,3716      30 704,433
  220585 2205854ATIVO   MUNIC   Madeiro MADEIRO                2      22                N       N       N       N           1997                       1        -3,48421-42,5051      30 177,219
  220590 2205904ATIVO   MUNIC   Manoel EMANOEL EMIDIO          2      22                N       N       S       N           1963                       1        -8,01136-43,8755     2271618,951
  220595 2205953ATIVO   MUNIC   MarcolanMARCOLANDIA            2      22                N       N       S       N           1993                       1        -7,44356-40,6629       0 137,069
  220600 2206001ATIVO   MUNIC   Marcos PMARCOS PARENTE         2      22                N       N       N       N           1962                       1         -7,1193-43,8883     274 775,767
  220605 2206050ATIVO   MUNIC   Massape MASSAPE DO PIAUI       2      22                N       N       S       N           1997                       1        -7,46548-41,1239     270 525,619
  220610 2206100ATIVO   MUNIC   Matias OMATIAS OLIMPIO         2      22                N       N       N       N           1953                       1        -3,71103-42,5586      69  226,22
  220620 2206209ATIVO   MUNIC   Miguel AMIGUEL ALVES           2      22                N       N       N       N           1911                       1        -4,16822-42,8932      501393,708
  220630 2206308ATIVO   MUNIC   Miguel LMIGUEL LEAO            2      22                N       N       N       N           1963                       1        -5,68224-42,7358     185  74,517
  220635 2206357ATIVO   MUNIC   Milton BMILTON BRANDAO         2      22                N       N       S       N           1997                       1        -4,69995 -41,448     3221371,766
  220640 2206407ATIVO   MUNIC   MonsenhoMONSENHOR GIL          2      22                N       N       N       N           1963                       1        -5,55149-42,6174     116 582,058
  220650 2206506ATIVO   MUNIC   MonsenhoMONSENHOR HIPOLI       2      22                N       N       S       N           1956                       1         -7,0035-41,0329     257 391,304
  220660 2206605ATIVO   MUNIC   Monte AlMONTE ALEGRE DO        2      22                N       N       N       N           1955                       1        -9,75583-45,2957     4532417,854
  220665 2206654ATIVO   MUNIC   Morro CaMORRO CABECA NO        2      22                N       N       S       N           1997                       1        -9,71932-43,9019     4792210,922
  220667 2206670ATIVO   MUNIC   Morro DoMORRO DO CHAPEU        2      22                N       N       N       N           1997                       1        -3,74226-42,3091      99 328,284
  220669 2206696ATIVO   MUNIC   Murici DMURICI DOS PORTE       2      22                N       N       N       N           1997                       1        -3,32386-42,0968      19 481,521
  220670 2206704ATIVO   MUNIC   Nazare DNAZARE DO PIAUI        2      22                N       N       S       N           1955                       1        -6,96713-42,6682     1361311,565
  220672 2206720ATIVO   MUNIC   Nazaria NAZARIA                2      22                N       N               N           2009                       1        -5,34693 -42,814      72
  220675 2206753ATIVO   MUNIC   Nossa SeNOSSA SENHORA DE       2      22                N       N       N       N           1997                       1        -4,62693-42,1793      40 356,341
  220680 2206803ATIVO   MUNIC   Nossa SeNOSSA SENHORA DO       2      22                N       N       N       N           1961                       1        -3,99123 -42,624      53 358,364
  220690 2206902ATIVO   MUNIC   Novo OriNOVO ORIENTE DO        2      22                N       N       S       N           1961                       1        -6,44941-41,9287     235 500,467
  220695 2206951ATIVO   MUNIC   Novo SanNOVO SANTO ANTON       2      22                N       N       N       N           1997                       1        -5,28606-41,9345     180 528,408
  220700 2207009ATIVO   MUNIC   Oeiras  OEIRAS                 2      22                N       N       S       N           1761                       1        -7,01642-42,1314     1662719,536
  220710 2207108ATIVO   MUNIC   Olho D'AOLHO D'AGUA DO P       2      22                N       N       N       N           1997                       1        -5,84716-42,5786     235 220,127
  220720 2207207ATIVO   MUNIC   Padre MaPADRE MARCOS           2      22                N       N       S       N           1964                       1        -7,35471-40,9059     360 319,124
  220730 2207306ATIVO   MUNIC   Paes LanPAES LANDIM            2      22                N       N       S       N           1962                       1        -7,77556 -42,257     193 349,679
  220735 2207355ATIVO   MUNIC   Pajeu DoPAJEU DO PIAUI         2      22                N       N       S       N           1997                       1        -7,85252-42,8169     2901075,263
  220740 2207405ATIVO   MUNIC   PalmeiraPALMEIRA DO PIAU       2      22                N       N       S       N           1962                       1         -8,7295-44,2326     2702021,228
  220750 2207504ATIVO   MUNIC   PalmeiraPALMEIRAIS             2      22                N       N       N       N           1934                       1         -5,9798-43,0618      851360,307
  220755 2207553ATIVO   MUNIC   Paqueta PAQUETA                2      22                N       N       S       N           1997                       1        -7,10147-41,7014     340 448,457
  220760 2207603ATIVO   MUNIC   ParnaguaPARNAGUA               2      22                N       N       N       N           1938                       1        -10,2172-44,6343     3343284,562
  220770 2207702ATIVO   MUNIC   ParnaibaPARNAIBA               2      22                N       N       N       N           1844                       1        -2,90336-41,7782       5 435,564
  220775 2207751ATIVO   MUNIC   PassagemPASSAGEM FRANCA        2      22                N       N       N       N           1993                       1        -5,85625-42,4405     140 849,601
  220777 2207777ATIVO   MUNIC   Patos DoPATOS DO PIAUI         2      22                N       N       S       N           1993                       1        -7,68076-41,2523       0 723,273
  220779 2207793ATIVO   MUNIC   Pau D'ArPAU D'ARCO DO PI       2      22                N       N       N       N           2001                       1        -5,25109-42,3889       0 426,628
  220780 2207801ATIVO   MUNIC   PaulistaPAULISTANA             2      22                N       N       S       N           1938                       1        -8,14144-41,1471     3591751,993
  220785 2207850ATIVO   MUNIC   Pavussu PAVUSSU                2      22                N       N       S       N           1997                       1        -7,96429-43,2218     3001494,687
  220790 2207900ATIVO   MUNIC   Pedro IiPEDRO II               2      22                N       N       S       N           1854                       1        -4,42706-41,4586     6031518,186
  220793 2207934ATIVO   MUNIC   Pedro LaPEDRO LAURENTINO       2      22                N       N       S       N           1997                       1        -8,06688-42,2861     200  835,05
  220795 2207959ATIVO   MUNIC   Nova SanNOVA SANTA RITA        2      22                N       N       S       N           1997                       1        -8,07496-42,0483     2921119,144
  220800 2208007ATIVO   MUNIC   Picos   PICOS                  2      22                N       N       S       N           1890                       1        -7,08137-41,4688     206 803,261
  220810 2208106ATIVO   MUNIC   PimenteiPIMENTEIRAS            2      22                N       N       S       N           1954                       1        -6,24169-41,4152     2834577,587
  220820 2208205ATIVO   MUNIC   Pio Ix  PIO IX                 2      22                N       N       S       N           1938                       1        -6,83269-40,6183     4951948,843
  220830 2208304ATIVO   MUNIC   PiracuruPIRACURUCA             2      22                N       N       S       N           1832                       1        -3,92929 -41,709      602380,511
  220840 2208403ATIVO   MUNIC   PiripiriPIRIPIRI               2      22                N       N       N       N           1874                       1        -4,27607-41,7785     1701408,928
  220850 2208502ATIVO   MUNIC   Porto   PORTO                  2      22                N       N       N       N           1938                       1        -3,89142-42,7109      38 252,713
  220855 2208551ATIVO   MUNIC   Porto AlPORTO ALEGRE DO        2      22                N       N       N       N           1997                       1        -6,97172-44,1948     1801136,804
  220860 2208601ATIVO   MUNIC   Prata DoPRATA DO PIAUI         2      22                N       N       N       N           1962                       1         -5,6648-42,2042     115 196,323
  220865 2208650ATIVO   MUNIC   QueimadaQUEIMADA NOVA          2      22                N       N       S       N           1993                       1        -8,58543 -41,417     4101499,865
  220870 2208700ATIVO   MUNIC   RedencaoREDENCAO DO GURG       2      22                N       N       S       N           1962                       1        -9,49345-44,5812     2922468,006
  220880 2208809ATIVO   MUNIC   RegeneraREGENERACAO            2      22                N       N       N       N           1934                       1        -6,24018 -42,685     1641257,157
  220885 2208858ATIVO   MUNIC   Riacho FRIACHO FRIO            2      22                N       N       N       N           1997                       1        -10,1287-44,9525     400 2221,95
  220887 2208874ATIVO   MUNIC   Ribeira RIBEIRA DO PIAUI       2      22                N       N       S       N           1997                       1        -7,69058 -42,714     200 990,678
  220890 2208908ATIVO   MUNIC   Ribeiro RIBEIRO GONCALVE       2      22                N       N       N       N           1938                       1        -7,55803-45,2456     2103979,036
  220900 2209005ATIVO   MUNIC   Rio GranRIO GRANDE DO PI       2      22                N       N       S       N           1961                       1        -7,77086-43,1402     310 611,011
  220910 2209104ATIVO   MUNIC   Santa CrSANTA CRUZ DO PI       2      22                N       N       S       N           1956                       1        -7,17763-41,7619     190 611,501
  220915 2209153ATIVO   MUNIC   Santa CrSANTA CRUZ DOS M       2      22                N       N       S       N           1993                       1        -5,80812-41,9584     160 984,084
  220920 2209203ATIVO   MUNIC   Santa FiSANTA FILOMENA         2      22                N       N       N       N           1938                       1         -9,1068-45,9206     2775285,447
  220930 2209302ATIVO   MUNIC   Santa LuSANTA LUZ              2      22                N       N       S       N           1962                       1        -8,94462-44,1296     3451186,831
  220935 2209351ATIVO   MUNIC   Santana SANTANA DO PIAUI       2      22                N       N       S       N           1993                       1        -6,94907-41,5185       0 140,688
  220937 2209377ATIVO   MUNIC   Santa RoSANTA ROSA DO PI       2      22                N       N       S       N           1993                       1        -6,80146-42,2808       0 356,237
  220940 2209401ATIVO   MUNIC   Santo AnSANTO ANTONIO DE       2      22                N       N       S       N           1963                       1        -6,98185-41,2338     237 395,799
  220945 2209450ATIVO   MUNIC   Santo AnSANTO ANTONIO DO       2      22                N       N       N       N           1997                       1        -6,04672-42,7112     240  33,152
  220950 2209500ATIVO   MUNIC   Santo InSANTO INACIO DO        2      22                N       N       S       N           1963                       1        -7,42234-41,9182     210 895,671
  220955 2209559ATIVO   MUNIC   Sao BrazSAO BRAZ DO PIAU       2      22                N       N       S       N           1993                       1        -9,06256-42,9991       0 604,081
  220960 2209609ATIVO   MUNIC   Sao FeliSAO FELIX DO PIA       2      22                N       N       N       N           1954                       1        -5,93287-42,1135     175  656,52
  220965 2209658ATIVO   MUNIC   Sao FranSAO FRANCISCO DE       2      22                N       N       S       N           1997                       1        -8,23775-41,6896     415 842,453
  220970 2209708ATIVO   MUNIC   Sao FranSAO FRANCISCO DO       2      22                N       N       S       N           1956                       1        -7,24398-42,5385     1581340,654
  220975 2209757ATIVO   MUNIC   Sao GoncSAO GONCALO DO G       2      22                N       N       N       N           1997                       1        -10,0299-45,3014     4401385,307
  220980 2209807ATIVO   MUNIC   Sao GoncSAO GONCALO DO P       2      22                N       N       N       N           1963                       1        -5,98967-42,6988     270 147,592
  220985 2209856ATIVO   MUNIC   Sao JoaoSAO JOAO DA CANA       2      22                N       N       S       N           1989                       1        -6,81893-41,3461     310 470,954
  220987 2209872ATIVO   MUNIC   Sao JoaoSAO JOAO DA FRON       2      22                N       N       S       N           1997                       1         -3,9386-41,2563     241 764,742
  220990 2209906ATIVO   MUNIC   Sao JoaoSAO JOAO DA SERR       2      22                N       N       S       N           1963                       1         -5,5088-41,8993     155 962,258
  220995 2209955ATIVO   MUNIC   Sao JoaoSAO JOAO DA VARJ       2      22                N       N       S       N           1997                       1        -6,91902-41,8637     340 395,368
  220997 2209971ATIVO   MUNIC   Sao JoaoSAO JOAO DO ARRA       2      22                N       N       N       N           1997                       1        -3,81317-42,4531     110 213,351
  221000 2210003ATIVO   MUNIC   Sao JoaoSAO JOAO DO PIAU       2      22                N       N       S       N           1906                       1        -8,34885-42,2564     2221532,432
  221005 2210052ATIVO   MUNIC   Sao JoseSAO JOSE DO DIVI       2      22                N       N       S       N           1993                       1        -3,80572-41,8301      55 319,114
  221010 2210102ATIVO   MUNIC   Sao JoseSAO JOSE DO PEIX       2      22                N       N       S       N           1956                       1        -7,49301-42,5702     1701339,496
  221020 2210201ATIVO   MUNIC   Sao JoseSAO JOSE DO PIAU       2      22                N       N       S       N           1963                       1        -6,87063-41,4794     395 330,719
  221030 2210300ATIVO   MUNIC   Sao JuliSAO JULIAO             2      22                N       N       S       N           1960                       1        -7,08532-40,8369     377 298,106
  221035 2210359ATIVO   MUNIC   Sao LourSAO LOURENCO DO        2      22                N       N       S       N           1993                       1          -9,172-42,5444       0 683,661
  221037 2210375ATIVO   MUNIC   Sao LuisSAO LUIS DO PIAU       2      22                N       N       S       N           1997                       1        -6,82814-41,3228     328 219,895
  221038 2210383ATIVO   MUNIC   Sao MiguSAO MIGUEL DA BA       2      22                N       N       N       N           1997                       1         -5,8623-42,1854     160 384,188
  221039 2210391ATIVO   MUNIC   Sao MiguSAO MIGUEL DO FI       2      22                N       N       S       N           1997                       1        -7,58497-42,3705     200 802,748
  221040 2210409ATIVO   MUNIC   Sao MiguSAO MIGUEL DO TA       2      22                N       N       S       N           1930                       1        -5,50066-41,3198     2855220,513
  221050 2210508ATIVO   MUNIC   Sao PedrSAO PEDRO DO PIA       2      22                N       N       N       N           1933                       1        -5,91395-42,7237     264 525,723
  221060 2210607ATIVO   MUNIC   Sao RaimSAO RAIMUNDO NON       2      22                N       N       S       N           1912                       1        -9,01536-42,6923     3322427,894
  221062 2210623ATIVO   MUNIC   SebastiaSEBASTIAO BARROS       2      22                N       N       N       N           1997                       1        -10,8167-44,8333     5001013,926
  221063 2210631ATIVO   MUNIC   SebastiaSEBASTIAO LEAL         2      22                N       N       S       N           1997                       1        -7,57739-44,0677     3603111,103
  221065 2210656ATIVO   MUNIC   SigefredSIGEFREDO PACHEC       2      22                N       N       N       N           1993                       1        -4,91169-41,7276     230 982,074
  221070 2210706ATIVO   MUNIC   Simoes  SIMOES                 2      22                N       N       S       N           1954                       1        -7,59914-40,8175     4371023,917
  221080 2210805ATIVO   MUNIC   SimpliciSIMPLICIO MENDES       2      22                N       N       S       N           1938                       1        -7,85796-41,9109     3021398,952
  221090 2210904ATIVO   MUNIC   Socorro SOCORRO DO PIAUI       2      22                N       N       S       N           1962                       1        -7,86494-42,5047     191  692,99
  221093 2210938ATIVO   MUNIC   SussuapaSUSSUAPARA             2      22                N       N       S       N           1997                       1        -7,01701-41,3923     240 220,074
  221095 2210953ATIVO   MUNIC   TamborilTAMBORIL DO PIAU       2      22                N       N       S       N           1997                       1        -8,40043-42,9097     350 1578,64
  221097 2210979ATIVO   MUNIC   Tanque DTANQUE DO PIAUI        2      22                N       N       S       N           1997                       1        -6,59635-42,2839     280 377,042
  221100 2211001ATIVO   MUNIC   TeresinaTERESINA               2      22                S       N       N       N           1832                       1        -5,08634-42,8053      721755,698
  221110 2211100ATIVO   MUNIC   Uniao   UNIAO                  2      22                N       N       N       N           1853                       1        -4,58602-42,8629      521173,447
  221120 2211209ATIVO   MUNIC   Urucui  URUCUI                 2      22                N       N       N       N           1902                       1         -7,2295-44,5603     1678452,025
  221130 2211308ATIVO   MUNIC   Valenca VALENCA DO PIAUI       2      22                N       N       S       N           1889                       1         -6,3982-41,7405     3081350,519
  221135 2211357ATIVO   MUNIC   Varzea BVARZEA BRANCA          2      22                N       N       S       N           1993                       1        -9,23654-42,9694       0 435,182
  221140 2211407ATIVO   MUNIC   Varzea GVARZEA GRANDE          2      22                N       N       N       N           1961                       1        -6,54295-42,2531     245 233,927
  221150 2211506ATIVO   MUNIC   Vera MenVERA MENDES            2      22                N       N       S       N           1997                       1        -7,60285-41,4797     297 310,368
  221160 2211605ATIVO   MUNIC   Vila NovVILA NOVA DO PIA       2      22                N       N       S       N           1997                       1        -7,14105-40,9378     400 167,959
  221170 2211704ATIVO   MUNIC   Wall FerWALL FERRAZ            2      22                N       N       S       N           1997                       1        -7,23578 -41,909     160  264,71
  230000 2300000IGNOR   IGNOR   MunicipiMUNICIPIIgnorado       2      230,239999    0,24N       N       N       N                                      8
  230010 2300101ATIVO   MUNIC   Abaiara ABAIARA                2      23                N       N       S       N           1957                       1        -7,35698-39,0475     409 179,906
  230015 2300150ATIVO   MUNIC   Acarape ACARAPE                2      23                N       N       S       N           1989                       1        -4,22314-38,7056      80 155,188
  230020 2300200ATIVO   MUNIC   Acarau  ACARAU                 2      23                N       N       N       N           1849                       1        -2,88531-40,1182       7 842,884
  230030 2300309ATIVO   MUNIC   AcopiaraACOPIARA               2      23                N       N       S       N           1921                       1        -6,09276-39,4557     3172265,316
  230040 2300408ATIVO   MUNIC   Aiuaba  AIUABA                 2      23                N       N       S       N           1956                       1         -6,5633-40,1232     4662434,414
  230050 2300507ATIVO   MUNIC   AlcantarALCANTARAS             2      23                N       N       S       N           1957                       1        -3,58698-40,5446     656 138,598
  230060 2300606ATIVO   MUNIC   AltaneirALTANEIRA              2      23                N       N       S       N           1958                       1         -6,9975-39,7458     661  73,296
  230070 2300705ATIVO   MUNIC   Alto SanALTO SANTO             2      23                N       N       S       N           1957                       1        -5,52208-38,2728      791338,743
  230075 2300754ATIVO   MUNIC   AmontadaAMONTADA               2      23                N       N       N       N           1986                       1        -3,36488-39,8288      34 1179,59
  230080 2300804ATIVO   MUNIC   AntoninaANTONINA DO NORT       2      23                N       N       S       N           1958                       1        -6,77969-39,9824     365 260,101
  230090 2300903ATIVO   MUNIC   ApuiaresAPUIARES               2      23                N       N       S       N           1957                       1        -3,94802-39,4304      91 544,744
  230100 2301000ATIVO   MUNIC   Aquiraz AQUIRAZ                2      23                N       N       N       N           1933                       1        -3,90619-38,3898      14 480,976
  230110 2301109ATIVO   MUNIC   Aracati ARACATI                2      23                N       N       S       N           1842                       1        -4,56707-37,7728       51229,194
  230120 2301208ATIVO   MUNIC   AracoiabARACOIABA              2      23                N       N       S       N           1933                       1        -4,37039-38,8094     107 656,532
  230125 2301257ATIVO   MUNIC   ArarendaARARENDA               2      23                N       N       S       N           1993                       1        -4,75194-40,8311     380 344,132
  230130 2301307ATIVO   MUNIC   Araripe ARARIPE                2      23                N       N       S       N           1935                       1        -7,20618-40,1374     6051347,047
  230140 2301406ATIVO   MUNIC   Aratuba ARATUBA                2      23                N       N       S       N           1957                       1        -4,41693-39,0476     838 142,538
